"","LocationAbbr","Income","perc_strength","propstrength","adjstrength","perc_cardio","propcardio","adjcardio","perc_obese","prop_obese","adjobese","perc_excer","prop_excer","adjexcer","perc_fruit","prop_fruit","adjfruit","perc_veg","prop_veg","adjveg"
"1","AK","$15,000 - $24,999",38.6,0.132171387073348,5.10181554103123,51.7,0.130627306273063,6.75343173431734,31,0.138948116560057,4.30739161336176,24.8,0.129297458893871,3.20657698056801,43.5,0.131796903132877,5.73316528628016,27.5,0.132165023731289,3.63453815261044
"2","AK","$25,000 - $34,999",30.7,0.0951343500363108,2.92062454611474,55.8,0.0937269372693727,5.229963099631,26,0.0955934612651031,2.48542999289268,25.8,0.0941704035874439,2.42959641255605,42.2,0.0968671227943824,4.08779258192294,17.3,0.094925155166119,1.64220518437386
"3","AK","$35,000 - $49,999",34.6,0.131445170660857,4.54800290486565,59.6,0.131734317343173,7.85136531365314,31.7,0.130774697938877,4.1455579246624,22.8,0.131539611360239,2.99910313901345,45.1,0.133237306445805,6.0090025207058,15.9,0.132530120481928,2.10722891566265
"4","AK","$50,000 - $74,999",31.5,0.181554103122731,5.71895424836601,59.1,0.183394833948339,10.8386346863469,29,0.181947405828003,5.27647476901208,23.9,0.182735426008969,4.36737668161435,38,0.180770615772416,6.86928339935182,14.6,0.181087988316904,2.6438846294268
"5","AK","$75,000 or greater",35.4,0.459694989106754,16.2732026143791,63.9,0.460516605166052,29.4270110701107,30.8,0.45273631840796,13.9442786069652,26.6,0.462257100149477,12.2960388639761,35.9,0.457328051854519,16.4180770615772,15.3,0.45929171230376,7.02716319824754
"6","AL","$15,000 - $24,999",21,0.249050569658205,5.23006196282231,39.3,0.247311827956989,9.71935483870968,39.3,0.252178965717606,9.91063335270192,11.7,0.248261758691207,2.90466257668712,50.3,0.245954045954046,12.3714885114885,34.2,0.245325203252033,8.39012195121951
"7","AL","$25,000 - $34,999",23.9,0.12972216669998,3.10035978412952,43.1,0.130046662609048,5.60501115844999,38.8,0.132287429788882,5.13275227580864,15.5,0.129652351738241,2.00961145194274,53.6,0.128271728271728,6.87536463536464,30.5,0.128658536585366,3.92408536585366
"8","AL","$35,000 - $49,999",28.6,0.165100939436338,4.72188686787927,44.2,0.16331913166971,7.21870561980118,36.5,0.163277164439279,5.9596165020337,18.9,0.16359918200409,3.0920245398773,45.1,0.164835164835165,7.43406593406593,25.2,0.164837398373984,4.15390243902439
"9","AL","$50,000 - $74,999",29.9,0.176094343393964,5.26522086747951,49.2,0.176709271657537,8.69409616555082,34.6,0.175866744141003,6.08498934727871,21.9,0.176687116564417,3.86944785276074,45.1,0.178221778221778,8.0378021978022,18.7,0.178658536585366,3.34091463414634
"10","AL","$75,000 or greater",31.8,0.280031980811513,8.90501698980612,51.3,0.282613106106715,14.4980523432745,32.7,0.276389695913229,9.03794305636258,22.1,0.281799591002045,6.2277709611452,44.7,0.282717282717283,12.6374625374625,18.8,0.282520325203252,5.31138211382114
"11","AR","$15,000 - $24,999",21.3,0.245984251968504,5.23946456692913,37.4,0.244365743721829,9.13927881519639,32.6,0.242487980769231,7.90510817307692,12.3,0.245276872964169,3.01690553745928,53.3,0.241658871219208,12.8804178359838,33.9,0.241761723700887,8.19572243346007
