"","LocationAbbr","Income","perc_strength","propstrength","adjstrength","perc_cardio","propcardio","adjcardio","perc_obese","prop_obese","adjobese","perc_excer","prop_excer","adjexcer","perc_fruit","prop_fruit","adjfruit","perc_veg","prop_veg","adjveg","vrich","region"
"1","AK","$15,000 - $24,999",38.6,0.132171387,5.101815541,51.7,0.130627306,6.753431734,31,0.138948117,4.307391613,24.8,0.129297459,3.206576981,43.5,0.131796903,5.733165286,27.5,0.132165024,3.634538153,0,"Western"
"2","AK","$25,000 - $34,999",30.7,0.09513435,2.920624546,55.8,0.093726937,5.2299631,26,0.095593461,2.485429993,25.8,0.094170404,2.429596413,42.2,0.096867123,4.087792582,17.3,0.094925155,1.642205184,0,"Western"
"3","AK","$35,000 - $49,999",34.6,0.131445171,4.548002905,59.6,0.131734317,7.851365314,31.7,0.130774698,4.145557925,22.8,0.131539611,2.999103139,45.1,0.133237306,6.009002521,15.9,0.13253012,2.107228916,0,"Western"
"4","AK","$50,000 - $74,999",31.5,0.181554103,5.718954248,59.1,0.183394834,10.83863469,29,0.181947406,5.276474769,23.9,0.182735426,4.367376682,38,0.180770616,6.869283399,14.6,0.181087988,2.643884629,0,"Western"
"5","AK","$75,000 or greater",35.4,0.459694989,16.27320261,63.9,0.460516605,29.42701107,30.8,0.452736318,13.94427861,26.6,0.4622571,12.29603886,35.9,0.457328052,16.41807706,15.3,0.459291712,7.027163198,1,"Western"
"6","AL","$15,000 - $24,999",21,0.24905057,5.230061963,39.3,0.247311828,9.719354839,39.3,0.252178966,9.910633353,11.7,0.248261759,2.904662577,50.3,0.245954046,12.37148851,34.2,0.245325203,8.390121951,0,"South"
"7","AL","$25,000 - $34,999",23.9,0.129722167,3.100359784,43.1,0.130046663,5.605011158,38.8,0.13228743,5.132752276,15.5,0.129652352,2.009611452,53.6,0.128271728,6.875364635,30.5,0.128658537,3.924085366,0,"South"
"8","AL","$35,000 - $49,999",28.6,0.165100939,4.721886868,44.2,0.163319132,7.21870562,36.5,0.163277164,5.959616502,18.9,0.163599182,3.09202454,45.1,0.164835165,7.434065934,25.2,0.164837398,4.153902439,0,"South"
"9","AL","$50,000 - $74,999",29.9,0.176094343,5.265220867,49.2,0.176709272,8.694096166,34.6,0.175866744,6.084989347,21.9,0.176687117,3.869447853,45.1,0.178221778,8.037802198,18.7,0.178658537,3.340914634,0,"South"
"10","AL","$75,000 or greater",31.8,0.280031981,8.90501699,51.3,0.282613106,14.49805234,32.7,0.276389696,9.037943056,22.1,0.281799591,6.227770961,44.7,0.282717283,12.63746254,18.8,0.282520325,5.311382114,1,"South"
